token,score
▁You,29.77
▁are,26.38
▁about,30.0
▁to,15.91
▁write,33.75
▁a,20.55
▁fair,12.39
y,19.5
▁tale,22.61
▁that,15.93
▁bl,5.375
ends,9.82
▁two,9.44
▁deeply,8.73
▁contrast,8.44
ing,7.906
▁gen,8.77
res,12.3
.,15.03
▁Let,8.586
▁your,9.23
▁narrative,9.65
▁flow,7.797
▁between,8.43
▁them,6.46
▁with,5.887
▁emotional,5.223
▁depth,5.137
▁and,4.29
▁imagin,5.0
ative,3.691
▁fl,4.727
air,7.484
.,10.49
▁Do,4.355
▁not,8.195
▁explain,7.42
▁the,7.47
▁gen,5.574
res,7.727
—,13.84
em,2.59
brace,4.566
▁them,3.234
.,7.094
▁Sh,3.436
ift,5.758
▁the,7.29
▁tone,4.89
▁grace,4.8
fully,6.18
▁from,6.78
▁light,5.35
▁to,5.785
▁dark,6.094
",",5.215
▁logic,10.52
▁to,5.74
▁magic,8.41
",",4.062
▁order,5.75
▁to,3.664
▁absurd,6.926
ity,3.934
.,5.023
▁Your,5.44
▁story,8.63
▁should,6.434
▁feel,7.7
▁en,4.67
chant,8.21
ing,7.0
",",9.62
▁contrad,9.22
ict,15.17
ory,4.285
",",3.266
▁and,4.297
▁rich,4.332
▁with,5.855
▁wonder,4.695
.,5.43
▁No,4.5
▁need,7.39
▁for,5.742
▁structure,7.85
",",5.168
▁just,4.35
▁follow,7.164
▁the,6.805
▁emotional,5.49
▁current,7.906
▁of,7.234
▁the,9.31
▁gen,9.56
res,10.84
▁provided,18.19
.,9.23
<0x0A>,10.08
<0x0A>,24.0
The,9.58
▁fair,14.06
y,18.72
▁tale,23.75
▁will,10.88
▁mix,12.78
▁the,8.94
▁two,12.86
▁following,22.1
▁gen,12.01
res,21.66
:,22.03
▁crime,60.53
▁+,23.42
▁fantasy,37.8
