step,token_id,token_str,logprob,surprisal,entropy,margin,top5_ids,top5_tokens,top5_logprobs
1,28723,.,-0.1280861496925354,0.1280861496925354,0.36736780405044556,0.7595552206039429,"[28723, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","['.', '<0x0A>', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>', '<0x24>', '<0x25>', '<0x26>', '<0x27>', '<0x28>', '<0x29>', '<0x2A>', '<0x2B>', '<0x2C>', '<0x2D>']","[-0.128086119890213, -2.1184120178222656, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
2,13,<0x0A>,-2.0043745040893555,2.0043745040893555,1.3474699258804321,0.08626648783683777,"[415, 4003, 13, 28705, 560, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]","['▁The', '▁Here', '<0x0A>', '▁', '▁In', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>', '<0x24>', '<0x25>', '<0x26>', '<0x27>', '<0x28>', '<0x29>', '<0x2A>']","[-0.8845813870429993, -1.1189563274383545, -2.0043742656707764, -2.636815071105957, -2.9158315658569336, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
3,7522,Title,-0.44967278838157654,0.44967278838157654,1.0180329084396362,0.4312235116958618,"[7522, 13940, 7395, 700, 1177, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]","['Title', '``', '---', '</', '----------------', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0A>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>', '<0x24>', '<0x25>', '<0x26>', '<0x27>', '<0x28>', '<0x29>']","[-0.4496728181838989, -1.5769062042236328, -2.179584503173828, -3.474226951599121, -4.467531204223633, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
4,28747,:,0.0,-0.0,-0.0,1.0,"[28747, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[':', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0A>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>', '<0x24>', '<0x25>', '<0x26>', '<0x27>', '<0x28>', '<0x29>', '<0x2A>', '<0x2B>', '<0x2C>', '<0x2D>']","[0.0, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
5,415,▁The,0.0,-0.0,-0.0,1.0,"[415, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","['▁The', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0A>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>', '<0x24>', '<0x25>', '<0x26>', '<0x27>', '<0x28>', '<0x29>', '<0x2A>', '<0x2B>', '<0x2C>', '<0x2D>']","[0.0, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
6,1618,▁En,-0.15398724377155304,0.15398724377155304,0.5068169832229614,0.7740885615348816,"[1618, 24849, 662, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]","['▁En', '▁Crim', '▁St', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0A>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>', '<0x24>', '<0x25>', '<0x26>', '<0x27>', '<0x28>', '<0x29>', '<0x2A>', '<0x2B>']","[-0.15398727357387543, -2.4865753650665283, -2.821397066116333, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
7,338,ch,0.0,-0.0,-0.0,1.0,"[338, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","['ch', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0A>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>', '<0x24>', '<0x25>', '<0x26>', '<0x27>', '<0x28>', '<0x29>', '<0x2A>', '<0x2B>', '<0x2C>', '<0x2D>']","[0.0, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
8,7266,anted,0.0,-0.0,-0.0,1.0,"[7266, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","['anted', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0A>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>', '<0x24>', '<0x25>', '<0x26>', '<0x27>', '<0x28>', '<0x29>', '<0x2A>', '<0x2B>', '<0x2C>', '<0x2D>']","[0.0, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
9,650,▁He,-0.4048461318016052,0.4048461318016052,1.2693936824798584,0.5681479573249817,"[650, 25158, 12633, 6815, 560, 11606, 542, 420, 334, 24849, 382, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]","['▁He', '▁Detect', '▁Case', '▁Bur', '▁In', '▁Invest', '▁Th', '▁G', '▁C', '▁Crim', '▁H', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0A>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>']","[-0.4048461318016052, -2.3133277893066406, -2.3914527893066406, -3.06109619140625, -4.043238639831543, -4.065560340881348, -4.087881088256836, -4.445024490356445, -4.511988639831543, -4.511988639831543, -4.556631088256836, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
10,392,ist,0.0,-0.0,-0.0,1.0,"[392, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","['ist', '<unk>', '<s>', '</s>', '<0x00>', '<0x01>', '<0x02>', '<0x03>', '<0x04>', '<0x05>', '<0x06>', '<0x07>', '<0x08>', '<0x09>', '<0x0A>', '<0x0B>', '<0x0C>', '<0x0D>', '<0x0E>', '<0x0F>', '<0x10>', '<0x11>', '<0x12>', '<0x13>', '<0x14>', '<0x15>', '<0x16>', '<0x17>', '<0x18>', '<0x19>', '<0x1A>', '<0x1B>', '<0x1C>', '<0x1D>', '<0x1E>', '<0x1F>', '<0x20>', '<0x21>', '<0x22>', '<0x23>', '<0x24>', '<0x25>', '<0x26>', '<0x27>', '<0x28>', '<0x29>', '<0x2A>', '<0x2B>', '<0x2C>', '<0x2D>']","[0.0, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
