token,score
You,30.9
Ġare,20.78
Ġa,10.04
Ġdream,9.27
-we,8.65
aver,7.78
",",49.47
Ġa,5.293
Ġgener,6.61
ative,7.285
Ġstoryt,8.664
eller,2.725
Ġwhose,6.79
Ġjob,4.348
Ġis,4.383
Ġto,4.098
Ġcreate,3.854
Ġtales,6.246
Ġthat,5.28
Ġblend,5.758
Ġthe,4.23
Ġimpossible,8.72
.,14.36
ĠGiven,21.03
Ġtwo,15.945
Ġcontrasting,12.62
Ġgenres,14.1
",",16.53
Ġyou,7.234
Ġmust,9.12
Ġinvent,6.84
Ġa,5.53
Ġfairy,11.234
Ġtale,12.805
Ġthat,7.516
Ġallows,5.06
Ġthese,5.65
Ġstyles,6.688
Ġto,2.51
Ġdance,3.691
Ġtogether,3.469
.,6.68
ĠLet,7.29
Ġyour,5.168
Ġwords,4.746
Ġbe,2.65
Ġfilled,2.223
Ġwith,2.855
Ġimagination,2.354
",",7.465
Ġemotion,2.615
",",7.918
Ġand,2.498
Ġenchant,5.086
ment,1.978
.,5.523
ĠCraft,5.848
Ġstories,5.426
Ġthat,3.291
Ġfeel,2.34
Ġlike,2.615
Ġcontradictions,4.906
Ġresolved,3.488
Ġwhere,3.348
Ġfear,2.818
Ġembraces,4.188
Ġlaughter,3.857
",",8.08
Ġor,4.207
Ġlogic,4.086
Ġmeets,3.402
Ġmyth,7.438
.,6.863
ĠLet,5.445
Ġyour,3.816
Ġnarrative,3.734
Ġvoice,3.656
Ġexpress,3.184
Ġboth,2.875
Ġstructure,3.855
Ġand,4.395
Ġsurprise,4.723
.ĊĊ,26.75
The,11.4
Ġfairy,9.445
Ġtale,9.89
Ġwill,9.836
Ġmix,8.75
Ġthe,11.43
Ġtwo,16.31
Ġfollowing,20.08
Ġgenres,10.8
:,14.086
Ġcrime,21.23
Ġ+,14.51
Ġfantasy,18.45
