step,token_id,token_str,logprob,surprisal,entropy,margin,top5_ids,top5_tokens,top5_logprobs
1,2226,Ġ,-2.842205047607422,2.842205047607422,1.0040994882583618,0.6405541896820068,"[2037, 6632, 13567, 2226, 2035, 12, 2368, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","['.', 'Ġelements', 'Ġfiction', 'Ġ', ',', 'Ċ', 'Ġwith', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '<|endoftext|>', 'ĉ', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<', '>>POS_0<<', '>>POS_1<<', '>>POS_2<<', '>>POS_3<<', '>>POS_4<<', '>>POS_5<<', '>>POS_6<<', '>>POS_7<<', '>>POS_8<<', '>>POS_9<<', '>>POS_10<<', '>>POS_11<<', '>>POS_12<<', '>>POS_13<<', '>>POS_14<<', '>>POS_15<<', '>>POS_16<<', '>>POS_17<<']","[-0.3124447166919708, -2.3957767486572266, -2.752920389175415, -2.842205047607422, -3.586254119873047, -4.032682418823242, -4.627920150756836, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
2,2052,=,-1.102015495300293,1.102015495300293,0.9819214344024658,0.23542070388793945,"[2031, 2052, 2036, 2034, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]","['(', '=', '-', '+', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '<|endoftext|>', 'Ċ', 'ĉ', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<', '>>POS_0<<', '>>POS_1<<', '>>POS_2<<', '>>POS_3<<', '>>POS_4<<', '>>POS_5<<', '>>POS_6<<', '>>POS_7<<', '>>POS_8<<', '>>POS_9<<', '>>POS_10<<', '>>POS_11<<', '>>POS_12<<', '>>POS_13<<', '>>POS_14<<', '>>POS_15<<', '>>POS_16<<', '>>POS_17<<', '>>POS_18<<', '>>POS_19<<']","[-0.5663003921508789, -1.1020156145095825, -2.7091569900512695, -3.393683433532715, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
3,33313,ĠMystery,-3.845008373260498,3.845008373260498,3.1485469341278076,0.0903593897819519,"[2226, 11378, 29934, 9408, 16531, 10706, 15426, 16563, 2265, 5825, 15097, 13567, 104415, 33313, 2427, 31800, 31851, 2356, 10849, 2390, 119197, 23920, 2296, 7287, 36296, 9548, 21669, 5742, 15717, 14884, 4656, 6144, 2456, 12890, 14324, 24538, 44585, 36649, 98972, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['Ġ', 'Ġmurder', 'Ġthriller', 'Ġcrime', 'Ġmagical', 'Ġmagic', 'Ġhorror', 'Ġromance', 'Ġa', 'Ġdark', 'Ġmystery', 'Ġfiction', 'Ġerotica', 'ĠMystery', 'ĠThe', 'Ġsupernatural', 'Ġerotic', 'ĠA', 'Ġadventure', 'Ġwh', 'Ġfanfiction', 'ĠFantasy', 'Ġan', 'Ġnovel', 'Ġsuspense', 'Ġcriminal', 'ĠCrime', 'Ġmodern', 'Ġhybrid', 'Ġviolent', 'Ġaction', 'Ġadult', 'Ġyour', 'Ġblend', 'Ġgenre', 'Ġbizarre', 'ĠGothic', 'Ġimaginative', 'Ġcybercrime', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>']","[-1.7170318365097046, -2.4164366722106934, -2.684293270111084, -2.7586989402770996, -2.8628649711608887, -3.0414364337921143, -3.1307222843170166, -3.220008373260498, -3.279531955718994, -3.4878649711608887, -3.4878649711608887, -3.577150821685791, -3.6664366722106934, -3.845008373260498, -3.934293031692505, -4.023579120635986, -4.023579120635986, -4.112864971160889, -4.112864971160889, -4.291436672210693, -4.380722522735596, -4.470008373260498, -4.737864971160889, -4.782508373260498, -4.827150821685791, -4.871793270111084, -4.916436672210693, -4.961079120635986, -4.961079120635986, -5.050364971160889, -5.095008373260498, -5.095008373260498, -5.139650821685791, -5.139650821685791, -5.139650821685791, -5.184293270111084, -5.184293270111084, -5.273579120635986, -5.318222522735596, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
4,2226,Ġ,-0.7792701125144958,0.7792701125144958,2.018477201461792,0.29444000124931335,"[2226, 2038, 2037, 13472, 23288, 8052, 2036, 41214, 31567, 2368, 7354, 64686, 2035, 16528, 2305, 2024, 32493, 12, 39375, 2034, 100588, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","['Ġ', '/', '.', 'ĠStory', 'ĠAdventure', 'ĠScience', '-', 'ĠNoir', 'ĠRomance', 'Ġwith', 'ĠIsland', 'ĠGenre', ',', 'ĠMagic', 'Ġand', '!', 'ĠNovel', 'Ċ', 'ĠHorror', '+', '++.', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '<|endoftext|>', 'ĉ', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<', '>>POS_0<<', '>>POS_1<<', '>>POS_2<<', '>>POS_3<<']","[-0.7792701125144958, -1.8060569763183594, -2.6393909454345703, -2.8774852752685547, -3.4131994247436523, -3.5024852752685547, -3.6810569763183594, -3.7703425884246826, -3.94891357421875, -4.216771125793457, -4.216771125793457, -4.216771125793457, -4.350699424743652, -4.484628677368164, -4.648320198059082, -4.663199424743652, -4.841771125793457, -5.094748497009277, -5.109628677368164, -5.16915225982666, -5.198914527893066, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
5,2034,+,-1.4814205169677734,1.4814205169677734,0.6468093395233154,0.5202436447143555,"[2029, 2034, 2031, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]","['&', '+', '(', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '<|endoftext|>', 'Ċ', 'ĉ', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<', '>>POS_0<<', '>>POS_1<<', '>>POS_2<<', '>>POS_3<<', '>>POS_4<<', '>>POS_5<<', '>>POS_6<<', '>>POS_7<<', '>>POS_8<<', '>>POS_9<<', '>>POS_10<<', '>>POS_11<<', '>>POS_12<<', '>>POS_13<<', '>>POS_14<<', '>>POS_15<<', '>>POS_16<<', '>>POS_17<<', '>>POS_18<<', '>>POS_19<<', '>>POS_20<<']","[-0.2909431457519531, -1.4814205169677734, -3.6837997436523438, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
6,23920,ĠFantasy,-1.58739173412323,1.58739173412323,1.7252975702285767,0.04778847098350525,"[31567, 16528, 23920, 23288, 11653, 8052, 39375, 87107, 32436, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['ĠRomance', 'ĠMagic', 'ĠFantasy', 'ĠAdventure', 'ĠAction', 'ĠScience', 'ĠHorror', 'ĠSupernatural', 'ĠEpic', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '<|endoftext|>', 'Ċ', 'ĉ', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<', '>>POS_0<<', '>>POS_1<<', '>>POS_2<<', '>>POS_3<<', '>>POS_4<<', '>>POS_5<<', '>>POS_6<<', '>>POS_7<<', '>>POS_8<<', '>>POS_9<<', '>>POS_10<<', '>>POS_11<<', '>>POS_12<<', '>>POS_13<<', '>>POS_14<<']","[-1.230248212814331, -1.4088199138641357, -1.58739173412323, -2.2123916149139404, -2.390963315963745, -3.5516765117645264, -4.4445343017578125, -4.4445343017578125, -5.158820152282715, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
7,2037,.,-0.39436978101730347,0.39436978101730347,0.9272778034210205,0.4974670708179474,"[2037, 2226, 12, 2035, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]","['.', 'Ġ', 'Ċ', ',', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '<|endoftext|>', 'ĉ', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<', '>>POS_0<<', '>>POS_1<<', '>>POS_2<<', '>>POS_3<<', '>>POS_4<<', '>>POS_5<<', '>>POS_6<<', '>>POS_7<<', '>>POS_8<<', '>>POS_9<<', '>>POS_10<<', '>>POS_11<<', '>>POS_12<<', '>>POS_13<<', '>>POS_14<<', '>>POS_15<<', '>>POS_16<<', '>>POS_17<<', '>>POS_18<<', '>>POS_19<<', '>>POS_20<<']","[-0.39436978101730347, -1.7336546182632446, -2.105677366256714, -3.593773603439331, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
8,2427,ĠThe,-0.2929253578186035,0.2929253578186035,1.1657383441925049,0.6728627681732178,"[2427, 2787, 2667, 2911, 2594, 5559, 4387, 7112, 3772, 5850, 12218, 13458, 22625, 12, 3314, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]","['ĠThe', 'ĠThis', 'ĠIt', 'ĠYou', 'ĠIn', 'ĠHere', 'ĠHowever', 'ĠMake', 'ĠTo', 'ĠPlease', 'ĠWrite', 'ĠRemember', 'ĠEnsure', 'Ċ', 'ĠAs', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '<|endoftext|>', 'ĉ', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<', '>>POS_0<<', '>>POS_1<<', '>>POS_2<<', '>>POS_3<<', '>>POS_4<<', '>>POS_5<<', '>>POS_6<<', '>>POS_7<<', '>>POS_8<<', '>>POS_9<<']","[-0.2929253578186035, -2.614353656768799, -3.5964951515197754, -3.77506685256958, -3.864353656768799, -4.1322102546691895, -4.221495151519775, -4.221495151519775, -4.310781955718994, -4.7572102546691895, -4.7572102546691895, -4.7572102546691895, -4.7572102546691895, -4.786972522735596, -4.846495151519775, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
9,14324,Ġgenre,-1.5921674966812134,1.5921674966812134,2.3737306594848633,0.01900380849838257,"[10619, 14324, 3391, 17141, 4094, 15097, 32717, 10222, 32134, 6553, 8607, 2813, 6536, 10706, 4490, 4651, 5488, 8166, 4979, 6233, 6581, 14191, 16531, 54330, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","['Ġplot', 'Ġgenre', 'Ġmain', 'Ġtwist', 'Ġstory', 'Ġmystery', 'Ġstoryline', 'Ġresulting', 'Ġprotagonist', 'Ġcharacters', 'Ġcombined', 'Ġfirst', 'Ġsetting', 'Ġmagic', 'Ġstyle', 'Ġtarget', 'Ġgoal', 'Ġtheme', 'Ġtitle', 'Ġstories', 'Ġstructure', 'Ġnarrative', 'Ġmagical', 'Ġoverarching', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '<|endoftext|>', 'Ċ', 'ĉ', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<']","[-1.5028825998306274, -1.5921674966812134, -1.7707390785217285, -2.4850258827209473, -2.782644748687744, -3.199310779571533, -3.377882480621338, -3.5564541816711426, -3.6457390785217285, -3.7350258827209473, -4.181454181671143, -4.2707390785217285, -4.360025882720947, -4.717167377471924, -4.8957390785217285, -4.985025882720947, -5.074310779571533, -5.163597583770752, -5.252882480621338, -5.252882480621338, -5.252882480621338, -5.386810779571533, -5.5207390785217285, -5.610025882720947, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
10,3336,Ġmust,-0.638532280921936,0.638532280921936,2.015011787414551,0.46611452102661133,"[3336, 2343, 2030, 2889, 7408, 2536, 9510, 2036, 12890, 13205, 17141, 2484, 6727, 2469, 24417, 5519, 8104, 6632, 15463, 24649, 2340, 20707, 11767, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","['Ġmust', 'Ġyou', ""'"", 'Ġshould', 'Ġswitch', 'Ġhas', 'Ġtransition', '-', 'Ġblend', 'Ġtransformation', 'Ġtwist', 'Ġwill', 'Ġshift', 'Ġcan', 'Ġswitches', 'Ġchoice', 'Ġcombination', 'Ġelements', 'Ġboundaries', 'Ġfusion', 'Ġis', 'Ġshifts', 'Ġmixture', '>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '<|endoftext|>', 'Ċ', 'ĉ', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<', '>>POS_0<<']","[-0.6385322213172913, -2.781388759613037, -2.870673656463623, -2.900437831878662, -3.1385321617126465, -3.495673894882202, -3.495673894882202, -3.8528170585632324, -3.942103862762451, -4.031388759613037, -4.031388759613037, -4.09091329574585, -4.120673656463623, -4.209960460662842, -4.209960460662842, -4.567103862762451, -4.567103862762451, -5.0135321617126465, -5.0135321617126465, -5.0135321617126465, -5.281388759613037, -5.281388759613037, -5.370673656463623, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379, -27.63102149963379]"
