token,score
▁You,41.7
▁are,33.38
▁a,37.2
▁dream,24.75
-,18.27
we,27.78
aver,36.7
",",16.3
▁a,21.28
▁gener,17.0
ative,31.83
▁story,18.39
t,11.9
eller,15.49
▁whose,17.05
▁job,11.99
▁is,6.824
▁to,9.086
▁create,8.07
▁tales,18.81
▁that,8.73
▁blend,12.59
▁the,14.34
▁impossible,20.36
.,21.34
▁Given,23.03
▁two,17.61
▁contrast,13.41
ing,13.99
▁gen,10.33
res,17.69
",",20.5
▁you,19.77
▁must,21.5
▁invent,19.39
▁a,14.18
▁fair,12.875
y,17.77
▁tale,19.38
▁that,18.17
▁allows,9.71
▁these,6.797
▁styles,13.48
▁to,5.875
▁dance,12.65
▁together,9.7
.,20.25
▁Let,15.15
▁your,18.48
▁words,28.1
▁be,7.324
▁filled,8.21
▁with,7.617
▁imagination,7.746
",",9.88
▁emotion,9.72
",",8.27
▁and,11.36
▁en,25.0
chant,7.887
ment,7.15
.,13.61
▁Craft,13.914
▁stories,10.984
▁that,8.26
▁feel,7.496
▁like,7.395
▁contrad,7.574
ictions,9.766
▁resolved,10.85
▁where,11.47
▁fear,8.23
▁embr,5.81
aces,6.395
▁laughter,6.176
",",5.32
▁or,6.79
▁logic,8.0
▁meets,5.598
▁myth,10.37
.,11.125
▁Let,10.12
▁your,10.375
▁narrative,14.88
▁voice,16.7
▁express,9.26
▁both,7.047
▁structure,15.25
▁and,5.973
▁surprise,8.22
.,13.14
<0x0A>,13.33
<0x0A>,43.28
The,14.09
▁fair,12.1
y,16.11
▁tale,19.75
▁will,22.14
▁mix,15.54
▁the,11.4
▁two,13.65
▁following,25.78
▁gen,13.11
res,22.4
:,35.3
▁crime,57.78
▁+,28.17
▁fantasy,38.56
