token,score
You,0.11425781
Ġare,0.009216309
Ġa,0.010498047
Ġdream,0.0625
-,0.0033569336
weaver,0.048828125
",",0.0019683838
Ġa,0.024780273
Ġgenerative,0.016113281
Ġstoryteller,0.011230469
Ġwhose,0.0026855469
Ġjob,0.0038604736
Ġis,0.001121521
Ġto,0.0011749268
Ġcreate,0.0012435913
Ġtales,0.0027618408
Ġthat,0.00050735474
Ġblend,0.0020141602
Ġthe,0.0010299683
Ġimpossible,0.006164551
.,0.0059814453
ĠGiven,0.009033203
Ġtwo,0.0078125
Ġcontrasting,0.0058898926
Ġgenres,0.004547119
",",0.007659912
Ġyou,0.009277344
Ġmust,0.0014572144
Ġinvent,0.0046691895
Ġa,0.063964844
Ġfairy,0.013671875
Ġtale,0.056884766
Ġthat,0.003753662
Ġallows,0.00074768066
Ġthese,0.0015487671
Ġstyles,0.0043640137
Ġto,0.007873535
Ġdance,0.010620117
Ġtogether,0.0031738281
.,0.0040283203
ĠLet,0.010253906
Ġyour,0.0038146973
Ġwords,0.0038757324
Ġbe,0.0026245117
Ġfilled,0.0038146973
Ġwith,0.001335144
Ġimagination,0.0107421875
",",0.0032958984
Ġemotion,0.012451172
",",0.0033569336
Ġand,0.004486084
Ġenchantment,0.020996094
.,0.012084961
ĠCraft,0.0045166016
Ġstories,0.005584717
Ġthat,0.0008544922
Ġfeel,0.007873535
Ġlike,0.004547119
Ġcontradictions,0.023071289
Ġresolved,0.01977539
Ġwhere,0.0008659363
Ġfear,0.0038452148
Ġembraces,0.004760742
Ġlaughter,0.020263672
",",0.0019836426
Ġor,0.0009765625
Ġlogic,0.017578125
Ġmeets,0.0016479492
Ġmyth,0.0061035156
.,0.03149414
ĠLet,0.0069274902
Ġyour,0.009277344
Ġnarrative,0.019042969
Ġvoice,0.005706787
Ġexpress,0.0050354004
Ġboth,0.0011062622
Ġstructure,0.007873535
Ġand,0.001373291
Ġsurprise,0.0038757324
.,0.0045166016
Ċ,0.016357422
Ċ,0.024780273
The,0.007751465
Ġfairy,0.025146484
Ġtale,0.034179688
Ġwill,0.014404297
Ġmix,0.008544922
Ġthe,0.008056641
Ġtwo,0.0070495605
Ġfollowing,0.0046081543
Ġgenres,0.06982422
:,0.029174805
Ġcrime,0.17480469
Ġ,0.25195312
+,0.107910156
Ġfantasy,0.023803711
