token,score
You,0.007598877
Ġare,0.016601562
Ġabout,0.01373291
Ġto,0.06347656
Ġwrite,0.07519531
Ġa,0.12890625
Ġfairy,0.12988281
Ġtale,0.19726562
Ġthat,0.010681152
Ġblends,0.008300781
Ġtwo,0.010620117
Ġdeeply,0.0066223145
Ġcontrasting,0.029663086
Ġgenres,0.016967773
.,0.23046875
ĠLet,0.022705078
Ġyour,0.011291504
Ġnarrative,0.01586914
Ġflow,0.0015411377
Ġbetween,0.010009766
Ġthem,0.030151367
Ġwith,0.0053100586
Ġemotional,0.004699707
Ġdepth,0.0019989014
Ġand,0.0028839111
Ġimaginative,0.0016708374
Ġflair,0.002670288
.,0.0625
ĠDo,0.0021972656
Ġnot,0.000831604
Ġexplain,0.001411438
Ġthe,0.0013580322
Ġgenres,0.0014953613
âĢĶ,0.004699707
em,0.005065918
brace,0.0015106201
Ġthem,0.0009841919
.,0.03149414
ĠShift,0.002243042
Ġthe,0.006072998
Ġtone,0.0035247803
Ġgracefully,0.0064697266
Ġfrom,0.005279541
Ġlight,0.0030670166
Ġto,0.0007972717
Ġdark,0.003616333
",",0.019042969
Ġlogic,0.001739502
Ġto,0.006134033
Ġmagic,0.001663208
",",0.025146484
Ġorder,0.0007019043
Ġto,0.008911133
Ġabsurdity,0.0033569336
.,0.018676758
ĠYour,0.0072021484
Ġstory,0.0022277832
Ġshould,0.0032806396
Ġfeel,0.0036468506
Ġenchanting,0.028076172
",",0.025634766
Ġcontradictory,0.0014419556
",",0.025146484
Ġand,0.006286621
Ġrich,0.0008430481
Ġwith,0.0019683838
Ġwonder,0.0022125244
.,0.032470703
ĠNo,0.0070495605
Ġneed,0.0119018555
Ġfor,0.024047852
Ġstructure,0.006225586
",",0.03540039
Ġjust,0.006011963
Ġfollow,0.011352539
Ġthe,0.01965332
Ġemotional,0.026000977
Ġcurrent,0.020263672
Ġof,0.017089844
Ġthe,0.032226562
Ġgenres,0.0047912598
Ġprovided,0.031982422
.,0.095703125
Ċ,0.060302734
Ċ,0.09716797
The,0.019897461
Ġfairy,0.011352539
Ġtale,0.019165039
Ġwill,0.021362305
Ġmix,0.01586914
Ġthe,0.034179688
Ġtwo,0.060058594
Ġfollowing,0.24707031
Ġgenres,0.28710938
:,0.09082031
Ġcrime,0.012268066
Ġ,0.034179688
+,0.09472656
Ġfantasy,0.10058594
