token,score
You,16.03
Ġare,12.97
Ġabout,9.58
Ġto,8.76
Ġwrite,5.418
Ġa,4.49
Ġfairy,6.543
Ġtale,7.4
Ġthat,5.79
Ġblends,3.807
Ġtwo,2.822
Ġdeeply,3.053
Ġcontrasting,4.04
Ġgenres,4.438
.,6.832
ĠLet,4.043
Ġyour,3.16
Ġnarrative,2.33
Ġflow,1.848
Ġbetween,2.426
Ġthem,2.092
Ġwith,1.758
Ġemotional,1.5
Ġdepth,1.204
Ġand,1.147
Ġimaginative,1.731
Ġflair,2.209
.,3.533
ĠDo,2.24
Ġnot,2.055
Ġexplain,2.875
Ġthe,2.195
Ġgenres,2.992
âĢĶ,3.607
em,0.9746
brace,1.491
Ġthem,1.103
.,2.682
ĠShift,2.02
Ġthe,1.322
Ġtone,1.442
Ġgracefully,2.35
Ġfrom,2.123
Ġlight,1.257
Ġto,1.667
Ġdark,1.668
",",6.86
Ġlogic,2.766
Ġto,1.717
Ġmagic,1.429
",",3.549
Ġorder,1.9795
Ġto,1.848
Ġabsurd,2.834
ity,0.7495
.,2.3
ĠYour,1.686
Ġstory,2.055
Ġshould,1.18
Ġfeel,0.8696
Ġenchant,1.969
ing,1.029
",",2.7
Ġcontradictory,2.418
",",3.295
Ġand,0.7803
Ġrich,0.8633
Ġwith,0.9966
Ġwonder,0.9834
.,1.782
ĠNo,1.032
Ġneed,1.393
Ġfor,1.266
Ġstructure,1.738
",",3.28
Ġjust,1.032
Ġfollow,1.263
Ġthe,1.191
Ġemotional,1.671
Ġcurrent,2.344
Ġof,2.105
Ġthe,2.35
Ġgenres,3.002
Ġprovided,4.246
.ĊĊ,8.77
The,3.92
Ġfairy,7.5
Ġtale,4.22
Ġwill,3.229
Ġmix,2.688
Ġthe,2.521
Ġtwo,3.123
Ġfollowing,4.688
Ġgenres,5.223
:,6.004
Ġcrime,10.266
Ġ+,5.016
Ġfantasy,4.04
