token,score
Below,0.0019226074
Ġare,0.0008125305
Ġtwo,0.0022583008
Ġexamples,0.00077056885
Ġof,0.00042915344
Ġhow,0.00077438354
Ġto,0.0019226074
Ġstructure,0.0010528564
Ġcreative,0.0035858154
Ġfairy,0.011230469
Ġtales,0.019042969
Ġcombining,0.002166748
Ġdifferent,0.002105713
Ġgenres,0.031982422
:,0.0007362366
Ċ,0.0047302246
Ċ,0.0039978027
Example,0.0015945435
Ġ,0.0005187988
1,0.0003376007
:,0.006500244
ĠA,0.020874023
Ġcyber,0.016357422
punk,0.0064086914
-,0.0022583008
fantasy,0.0037841797
Ġtale,0.026123047
Ġabout,0.0078125
Ġa,0.028564453
Ġmagical,0.037841797
Ġhacker,0.00289917
Ġwho,0.014221191
Ġre,0.0035705566
programs,0.0065612793
Ġdreams,0.037597656
Ġin,0.00031661987
Ġa,0.00090408325
Ġneon,0.0027770996
-,0.00019931793
lit,0.00390625
Ġforest,0.0033111572
.,0.029052734
Ċ,0.01550293
Example,0.00074386597
Ġ,0.006072998
2,0.00012397766
:,0.0014266968
ĠA,0.0002975464
Ġnoir,0.006164551
-,0.0005226135
folk,0.00061798096
lore,0.0022583008
Ġstory,0.0032043457
Ġin,0.00062179565
Ġwhich,0.002960205
Ġa,0.007507324
Ġcursed,0.009338379
Ġdetective,0.016235352
Ġsolves,0.0017623901
Ġghost,0.004211426
Ġcrimes,0.0009994507
Ġin,0.0012054443
Ġa,0.0019073486
Ġforgotten,0.0016021729
Ġvillage,0.022460938
.,0.006439209
Ċ,0.0015945435
Ċ,0.0025634766
Now,0.0009689331
",",0.0008049011
Ġusing,0.0032043457
Ġthe,0.0010757446
Ġsame,0.002029419
Ġcreative,0.019042969
Ġformat,0.006439209
Ġand,0.0066833496
Ġnarrative,0.0030059814
Ġbalance,0.0016479492
",",0.018188477
Ġwrite,0.006439209
Ġa,0.007507324
Ġnew,0.0039978027
Ġfairy,0.05810547
Ġtale,0.0042419434
Ġbased,0.0022888184
Ġon,0.0003299713
Ġthe,0.0031585693
Ġtwo,0.004486084
Ġgenres,0.00592041
Ġprovided,0.0029907227
.,0.028930664
ĠBlend,0.006286621
Ġthe,0.007659912
Ġstyles,0.00491333
Ġmeaningfully,0.012145996
Ġand,0.0075683594
Ġmaintain,0.00062179565
Ġthe,0.0019683838
Ġtone,0.0023345947
Ġof,0.0015182495
Ġa,0.00074768066
Ġcohesive,0.004699707
Ġand,0.0023956299
Ġwell,0.00062561035
-,0.00018978119
written,0.00491333
Ġstory,0.01361084
.,0.064941406
Ċ,0.017089844
Ċ,0.026489258
The,0.0032806396
Ġfairy,0.03466797
Ġtale,0.03955078
Ġwill,0.013183594
Ġmix,0.0076293945
Ġthe,0.0031433105
Ġtwo,0.0053710938
Ġfollowing,0.013977051
Ġgenres,0.006958008
:,0.009033203
Ġcrime,0.025878906
Ġ,0.018676758
+,0.037353516
Ġfantasy,0.041503906
