token,score
Write,0.021484375
Ġa,0.011474609
Ġfairy,0.003967285
Ġtale,0.0014266968
Ġusing,0.00077438354
Ġrich,0.0020751953
",",0.00982666
Ġevocative,0.0028381348
Ġlanguage,0.016967773
Ġand,0.0028686523
Ġa,0.0028839111
Ġstrong,0.0020446777
Ġnarrative,0.014465332
Ġvoice,0.008300781
.,0.018676758
ĠYour,0.023925781
Ġtask,0.018920898
Ġis,0.0027160645
Ġto,0.004119873
Ġweave,0.0035858154
Ġa,0.001701355
Ġstory,0.005584717
Ġthat,0.0049743652
Ġmerges,0.0028076172
Ġtwo,0.0013122559
Ġcontrasting,0.006866455
Ġgenres,0.010559082
Ġinto,0.0021362305
Ġa,0.011657715
Ġseamless,0.00982666
Ġnarrative,0.020874023
.,0.10839844
ĠThe,0.009521484
Ġstyle,0.0039367676
Ġshould,0.0017166138
Ġreflect,0.004425049
Ġliterary,0.003967285
Ġflair,0.0033721924
Ġand,0.0046081543
Ġpoetic,0.0034179688
Ġrhythm,0.0017776489
Ġwhile,0.002029419
Ġensuring,0.0009994507
Ġthat,0.00024318695
Ġthe,0.0027770996
Ġfusion,0.007232666
Ġof,0.003036499
Ġgenres,0.008972168
Ġfeels,0.01159668
Ġnatural,0.003189087
Ġand,0.005279541
Ġdeliberate,0.009033203
.,0.03100586
ĠMake,0.0025482178
Ġthe,0.008911133
Ġstory,0.0065612793
Ġstyl,0.03930664
istically,0.0011825562
Ġdistinct,0.0035705566
",",0.0037841797
Ġimaginative,0.0015869141
",",0.0028686523
Ġand,0.0067749023
Ġimmersive,0.009155273
.,0.03125
Ċ,0.016357422
Ċ,0.053222656
The,0.021850586
Ġfairy,0.016235352
Ġtale,0.044677734
Ġwill,0.016235352
Ġmix,0.004211426
Ġthe,0.0073547363
Ġtwo,0.015014648
Ġfollowing,0.052978516
Ġgenres,0.027709961
:,0.021850586
Ġcrime,0.040283203
Ġ,0.10546875
+,0.16503906
Ġfantasy,0.09277344
