token,score
Below,6.8
Ġare,5.42
Ġtwo,2.172
Ġexamples,2.893
Ġof,3.11
Ġhow,2.023
Ġto,2.793
Ġstructure,2.77
Ġcreative,2.717
Ġfairy,4.035
Ġtales,3.717
Ġcombining,2.107
Ġdifferent,1.023
Ġgenres,2.172
:ĊĊ,3.797
Example,2.838
Ġ,2.146
1,1.877
:,2.273
ĠA,1.3
Ġcyber,2.443
punk,2.125
-f,1.279
antasy,2.193
Ġtale,2.414
Ġabout,1.273
Ġa,0.876
Ġmagical,1.248
Ġhacker,1.774
Ġwho,0.906
Ġre,1.172
programs,2.15
Ġdreams,1.52
Ġin,1.089
Ġa,1.056
Ġneon,2.096
-l,1.255
it,1.543
Ġforest,2.527
.Ċ,3.463
Example,1.73
Ġ,0.777
2,0.9575
:,1.545
ĠA,1.039
Ġnoir,4.68
-f,1.356
olk,1.99
lore,1.258
Ġstory,0.8013
Ġin,0.822
Ġwhich,1.097
Ġa,0.9893
Ġcursed,1.995
Ġdetective,2.236
Ġsolves,3.39
Ġghost,3.166
Ġcrimes,6.527
Ġin,0.746
Ġa,0.94
Ġforgotten,1.602
Ġvillage,1.745
.ĊĊ,3.297
Now,3.654
",",12.27
Ġusing,1.627
Ġthe,0.743
Ġsame,1.096
Ġcreative,1.221
Ġformat,2.0
Ġand,0.6123
Ġnarrative,0.818
Ġbalance,1.193
",",2.982
Ġwrite,1.306
Ġa,0.76
Ġnew,1.177
Ġfairy,2.117
Ġtale,1.931
Ġbased,1.348
Ġon,0.9155
Ġthe,0.9023
Ġtwo,1.522
Ġgenres,2.006
Ġprovided,1.21
.,1.635
ĠBlend,1.307
Ġthe,0.597
Ġstyles,0.949
Ġmeaning,1.091
fully,1.042
Ġand,0.525
Ġmaintain,0.511
Ġthe,0.4268
Ġtone,0.788
Ġof,0.553
Ġa,0.4355
Ġcohesive,0.8467
Ġand,0.5566
Ġwell,0.4478
-written,0.938
Ġstory,0.745
.ĊĊ,3.193
The,1.439
Ġfairy,1.734
Ġtale,1.399
Ġwill,1.215
Ġmix,1.418
Ġthe,1.128
Ġtwo,1.936
Ġfollowing,2.953
Ġgenres,2.377
:,2.791
Ġcrime,6.21
Ġ+,3.387
Ġfantasy,3.404
