word,score
Below,6.80078125
are,5.421875
two,2.171875
examples,2.892578125
of,3.109375
how,2.0234375
to,2.79296875
structure,2.76953125
creative,2.716796875
fairy,4.03515625
tales,3.716796875
combining,2.107421875
different,1.0234375
genres:ĊĊExample,8.806640625
1,4.0234375
:,2.2734375
A,1.2998046875
cyberpunk-fantasy,8.041015625
tale,2.4140625
about,1.2734375
a,0.8759765625
magical,1.248046875
hacker,1.7744140625
who,0.90576171875
reprograms,3.322265625
dreams,1.51953125
in,1.0888671875
a,1.0556640625
neon-lit,4.8935546875
forest.ĊExample,7.720703125
2,1.734375
:,1.544921875
A,1.0390625
noir-folklore,9.2841796875
story,0.80126953125
in,0.82177734375
which,1.0966796875
a,0.9892578125
cursed,1.9951171875
detective,2.236328125
solves,3.390625
ghost,3.166015625
crimes,6.52734375
in,0.74609375
a,0.93994140625
forgotten,1.6015625
village.ĊĊNow,8.6962890625
",",12.2734375
using,1.626953125
the,0.7431640625
same,1.095703125
creative,1.220703125
format,2.0
and,0.6123046875
narrative,0.81787109375
balance,1.193359375
",",2.982421875
write,1.3056640625
a,0.759765625
new,1.1767578125
fairy,2.1171875
tale,1.9306640625
based,1.34765625
on,0.91552734375
the,0.90234375
two,1.5224609375
genres,2.005859375
provided,1.2099609375
.,1.634765625
Blend,1.306640625
the,0.59716796875
styles,0.94921875
meaningfully,2.1328125
and,0.52490234375
maintain,0.51123046875
the,0.4267578125
tone,0.7880859375
of,0.55322265625
a,0.435546875
cohesive,0.8466796875
and,0.556640625
well-written,1.3857421875
story.ĊĊThe,5.3779296875
fairy,1.734375
tale,1.3994140625
will,1.21484375
mix,1.41796875
the,1.1279296875
two,1.935546875
following,2.953125
genres,2.376953125
:,2.791015625
crime,6.2109375
+,3.38671875
fantasy,3.404296875
