token,score
You,5.97
Ġare,4.562
Ġa,3.955
Ġprofessional,3.023
Ġfairy,4.355
Ġtale,2.59
Ġwriter,2.21
Ġknown,1.397
Ġfor,1.316
Ġyour,1.037
Ġmastery,1.476
Ġin,1.054
Ġcombining,1.616
Ġunconventional,1.709
Ġliterary,1.973
Ġstyles,1.536
.,3.412
ĠYour,1.512
Ġtask,1.834
Ġis,1.257
Ġto,1.274
Ġwrite,1.266
Ġa,1.0205
Ġshort,1.376
Ġfairy,2.672
Ġtale,2.633
Ġthat,1.807
Ġskill,1.439
fully,1.101
Ġmerges,1.733
Ġtwo,1.365
Ġcontrasting,1.944
Ġgenres,2.877
.,1.85
ĠYour,1.033
Ġstorytelling,1.127
Ġshould,0.889
Ġdemonstrate,0.897
Ġcreative,0.8496
Ġdiscipline,1.389
",",8.914
Ġblending,0.934
Ġthe,0.4792
Ġgenres,0.8716
Ġin,0.556
Ġa,0.4153
Ġbalanced,0.8047
Ġway,0.701
Ġwhile,0.509
Ġremaining,0.564
Ġentertaining,0.713
Ġand,0.4521
Ġcoherent,1.088
.,1.718
ĠMaintain,1.329
Ġa,0.6045
Ġpolished,1.262
Ġtone,0.7695
Ġand,0.617
Ġensure,1.033
Ġthat,0.8765
Ġthe,0.6255
Ġstory,1.123
Ġreflects,0.709
Ġthe,0.565
Ġunique,0.664
Ġnarrative,0.759
Ġfeatures,0.83
Ġof,1.031
Ġboth,0.6987
Ġgenres,1.21
.ĊĊ,6.098
The,2.002
Ġfairy,1.861
Ġtale,2.178
Ġwill,1.762
Ġmix,1.835
Ġthe,1.326
Ġtwo,1.663
Ġfollowing,2.775
Ġgenres,3.164
:,4.58
Ġcrime,10.55
Ġ+,4.47
Ġfantasy,5.41
