token,score
▁Below,26.34
▁are,22.02
▁two,17.5
▁examples,20.03
▁of,19.56
▁how,17.39
▁to,20.3
▁structure,22.8
▁creative,25.88
▁fair,28.19
y,43.75
▁tales,32.62
▁combining,24.17
▁different,13.46
▁gen,11.58
res,20.7
:,29.95
<0x0A>,44.16
<0x0A>,23.66
Example,20.47
▁,12.484
1,12.26
:,20.36
▁A,10.586
▁cyber,17.8
p,17.56
unk,22.8
-,11.195
f,14.67
ant,16.45
asy,17.53
▁tale,18.78
▁about,11.0
▁a,9.76
▁magical,11.52
▁hack,12.086
er,12.22
▁who,7.633
▁re,4.91
program,10.93
s,7.83
▁dreams,10.664
▁in,7.977
▁a,8.46
▁ne,8.58
on,12.26
-,5.223
lit,12.21
▁forest,10.54
.,13.36
<0x0A>,16.22
Example,19.53
▁,6.27
2,9.805
:,13.52
▁A,9.734
▁no,22.11
ir,42.4
-,9.7
fol,22.06
kl,15.83
ore,14.555
▁story,8.664
▁in,7.438
▁which,11.37
▁a,10.91
▁cur,10.84
sed,23.69
▁detective,29.34
▁sol,12.4
ves,12.336
▁ghost,14.96
▁crimes,23.2
▁in,10.65
▁a,6.49
▁forgotten,9.82
▁village,11.99
.,11.086
<0x0A>,13.9
<0x0A>,20.67
Now,19.84
",",16.97
▁using,19.88
▁the,10.32
▁same,14.91
▁creative,13.766
▁format,19.4
▁and,12.66
▁narrative,13.445
▁balance,20.5
",",18.7
▁write,26.58
▁a,13.36
▁new,18.2
▁fair,13.01
y,18.19
▁tale,22.38
▁based,17.16
▁on,11.914
▁the,13.06
▁two,24.7
▁gen,14.72
res,20.2
▁provided,30.67
.,25.88
▁Bl,9.98
end,18.64
▁the,12.76
▁styles,14.51
▁meaning,12.55
fully,14.43
▁and,8.03
▁maintain,10.484
▁the,7.508
▁tone,8.695
▁of,6.434
▁a,7.16
▁co,11.914
hes,5.156
ive,6.805
▁and,5.254
▁well,4.406
-,3.377
written,6.51
▁story,8.414
.,17.83
<0x0A>,24.11
<0x0A>,36.47
The,21.25
▁fair,17.7
y,21.9
▁tale,24.12
▁will,26.88
▁mix,25.44
▁the,16.81
▁two,27.05
▁following,45.47
▁gen,22.02
res,39.16
:,40.16
▁crime,115.0
▁+,54.84
▁fantasy,95.25
