word,score
Write,46.59375
a,60.65625
fairy,66.03125
tale,40.6875
that,27.0625
blends,51.25
two,20.09375
contrasting,35.671875
narrative,24.484375
genres,59.8125
.,39.78125
Do,27.78125
not,45.0
assume,30.84375
any,14.4921875
prior,20.296875
context,22.75
or,15.296875
style,20.84375
.,38.75
Simply,26.84375
respond,31.15625
with,23.15625
a,16.203125
complete,17.875
and,14.2890625
coherent,27.5078125
fairy,37.4765625
tale,31.609375
based,18.859375
solely,16.140625
on,14.3984375
the,20.03125
genres,57.03125
provided,28.15625
.,33.65625
Use,20.921875
clear,14.1953125
language,22.125
and,12.9140625
avoid,15.2265625
adding,15.1171875
your,18.953125
own,14.9140625
framing,37.0078125
or,12.8984375
interpretations,28.8671875
.<0x0A><0x0A>The,196.0625
fairy,56.984375
tale,37.125
will,64.3125
mix,33.875
the,28.90625
two,38.9375
following,62.34375
genres,93.875
:,72.6875
crime,90.625
+,58.65625
fantasy,53.9375
