word,score
Write,11.953125
a,11.3984375
fairy,6.453125
tale,6.51953125
that,5.0390625
blends,3.337890625
two,3.3203125
contrasting,4.4375
narrative,3.35546875
genres,3.994140625
.,7.23828125
Do,2.37890625
not,2.140625
assume,2.01953125
any,1.4404296875
prior,1.90625
context,2.3359375
or,1.6630859375
style,1.392578125
.,5.3515625
Simply,2.4453125
respond,3.337890625
with,3.326171875
a,3.109375
complete,1.736328125
and,1.8984375
coherent,3.01953125
fairy,4.41796875
tale,3.404296875
based,4.5625
solely,3.6640625
on,5.23046875
the,7.70703125
genres,2.408203125
provided,2.328125
.,3.662109375
Use,1.4775390625
clear,1.896484375
language,2.390625
and,1.1103515625
avoid,1.244140625
adding,1.685546875
your,1.720703125
own,1.3125
framing,2.470703125
or,1.6640625
interpretations.ĊĊThe,14.869140625
fairy,3.8671875
tale,3.279296875
will,2.470703125
mix,2.533203125
the,2.951171875
two,2.6640625
following,3.84375
genres,3.99609375
:,5.484375
crime,9.671875
+,4.9609375
fantasy,6.25390625
