token,score
▁You,27.16
▁are,19.25
▁a,29.62
▁professional,17.86
▁fair,18.75
y,27.19
▁tale,24.77
▁writer,18.53
▁known,11.91
▁for,10.99
▁your,12.086
▁master,9.016
y,12.29
▁in,13.195
▁combining,12.195
▁un,5.676
con,6.96
vent,5.387
ional,9.36
▁literary,13.75
▁styles,10.99
.,11.97
▁Your,8.586
▁task,14.29
▁is,6.703
▁to,8.44
▁write,9.46
▁a,10.95
▁short,11.43
▁fair,11.55
y,16.53
▁tale,20.27
▁that,12.484
▁skill,7.71
fully,11.984
▁mer,10.97
ges,18.19
▁two,16.3
▁contrast,8.42
ing,8.53
▁gen,8.42
res,12.945
.,13.05
▁Your,7.574
▁story,8.32
t,5.77
elling,8.39
▁should,8.23
▁demonstrate,8.12
▁creative,6.246
▁discipline,10.6
",",7.445
▁bl,7.19
ending,17.08
▁the,9.07
▁gen,6.72
res,6.707
▁in,6.05
▁a,7.258
▁balanced,8.42
▁way,9.84
▁while,7.625
▁remaining,6.867
▁entertaining,9.22
▁and,4.47
▁co,8.234
herent,5.727
.,9.6
▁M,8.15
aint,8.17
ain,8.77
▁a,7.562
▁pol,7.21
ished,9.52
▁tone,7.11
▁and,4.633
▁ensure,8.734
▁that,7.23
▁the,11.14
▁story,4.473
▁reflects,5.84
▁the,8.266
▁unique,6.33
▁narrative,7.598
▁features,10.016
▁of,5.93
▁both,7.04
▁gen,15.8
res,7.633
.,13.69
<0x0A>,15.74
<0x0A>,36.94
The,14.05
▁fair,12.15
y,15.875
▁tale,19.73
▁will,22.39
▁mix,16.3
▁the,14.37
▁two,18.98
▁following,34.72
▁gen,17.17
res,30.12
:,31.4
▁crime,73.94
▁+,33.06
▁fantasy,49.8
