token,score
Write,11.95
Ġa,11.4
Ġfairy,6.453
Ġtale,6.52
Ġthat,5.04
Ġblends,3.338
Ġtwo,3.32
Ġcontrasting,4.438
Ġnarrative,3.355
Ġgenres,3.994
.,7.24
ĠDo,2.379
Ġnot,2.14
Ġassume,2.02
Ġany,1.44
Ġprior,1.906
Ġcontext,2.336
Ġor,1.663
Ġstyle,1.393
.,5.35
ĠSimply,2.445
Ġrespond,3.338
Ġwith,3.326
Ġa,3.11
Ġcomplete,1.736
Ġand,1.898
Ġcoherent,3.02
Ġfairy,4.418
Ġtale,3.404
Ġbased,4.562
Ġsolely,3.664
Ġon,5.23
Ġthe,7.707
Ġgenres,2.408
Ġprovided,2.328
.,3.662
ĠUse,1.478
Ġclear,1.896
Ġlanguage,2.39
Ġand,1.11
Ġavoid,1.244
Ġadding,1.686
Ġyour,1.721
Ġown,1.3125
Ġframing,2.47
Ġor,1.664
Ġinterpretations,2.092
.ĊĊ,8.445
The,4.332
Ġfairy,3.867
Ġtale,3.28
Ġwill,2.47
Ġmix,2.533
Ġthe,2.951
Ġtwo,2.664
Ġfollowing,3.844
Ġgenres,3.996
:,5.484
Ġcrime,9.67
Ġ+,4.96
Ġfantasy,6.254
