token,score
Write,9.195
Ġa,8.29
Ġfairy,4.34
Ġtale,4.55
Ġusing,3.674
Ġrich,2.746
",",6.84
Ġev,1.329
oc,1.28
ative,1.298
Ġlanguage,1.631
Ġand,0.79
Ġa,0.6436
Ġstrong,0.7285
Ġnarrative,1.238
Ġvoice,1.466
.,2.146
ĠYour,1.885
Ġtask,1.915
Ġis,1.186
Ġto,1.113
Ġweave,1.216
Ġa,0.806
Ġstory,1.699
Ġthat,1.417
Ġmerges,2.52
Ġtwo,1.679
Ġcontrasting,2.75
Ġgenres,2.79
Ġinto,1.254
Ġa,0.5044
Ġseamless,1.222
Ġnarrative,0.882
.,2.248
ĠThe,1.745
Ġstyle,1.058
Ġshould,1.241
Ġreflect,0.7544
Ġliterary,1.411
Ġflair,1.178
Ġand,0.5923
Ġpoetic,1.359
Ġrhythm,0.857
Ġwhile,0.699
Ġensuring,1.21
Ġthat,1.001
Ġthe,0.8438
Ġfusion,1.018
Ġof,0.8784
Ġgenres,1.438
Ġfeels,0.992
Ġnatural,0.4607
Ġand,0.6343
Ġdeliberate,0.992
.,2.236
ĠMake,2.23
Ġthe,2.469
Ġstory,1.925
Ġstylist,2.252
ically,0.93
Ġdistinct,1.262
",",3.234
Ġimaginative,1.56
",",3.271
Ġand,1.314
Ġimmersive,1.898
.ĊĊ,9.12
The,3.389
Ġfairy,3.113
Ġtale,3.307
Ġwill,2.084
Ġmix,2.436
Ġthe,2.154
Ġtwo,3.17
Ġfollowing,5.367
Ġgenres,5.01
:,5.94
Ġcrime,9.4
Ġ+,8.16
Ġfantasy,7.113
