token,score
Write,0.010986328
Ġa,0.021240234
Ġfairy,0.03173828
Ġtale,0.03540039
Ġthat,0.0038757324
Ġblends,0.004211426
Ġtwo,0.002090454
Ġcontrasting,0.0029907227
Ġnarrative,0.003326416
Ġgenres,0.011352539
.,0.032958984
ĠDo,0.0040893555
Ġnot,0.005065918
Ġassume,0.010986328
Ġany,0.0054626465
Ġprior,0.0025787354
Ġcontext,0.0022583008
Ġor,0.002670288
Ġstyle,0.0015258789
.,0.01953125
ĠSimply,0.01373291
Ġrespond,0.021362305
Ġwith,0.0022125244
Ġa,0.008361816
Ġcomplete,0.022583008
Ġand,0.123046875
Ġcoherent,0.08984375
Ġfairy,0.012451172
Ġtale,0.0057678223
Ġbased,0.003616333
Ġsolely,0.0043945312
Ġon,0.0016708374
Ġthe,0.002029419
Ġgenres,0.0069885254
Ġprovided,0.017211914
.,0.09667969
ĠUse,0.00680542
Ġclear,0.0037994385
Ġlanguage,0.011352539
Ġand,0.0039978027
Ġavoid,0.0016326904
Ġadding,0.002746582
Ġyour,0.006378174
Ġown,0.0023956299
Ġframing,0.0099487305
Ġor,0.003753662
Ġinterpretations,0.008117676
.,0.0025939941
Ċ,0.012756348
Ċ,0.0029907227
The,0.004058838
Ġfairy,0.034179688
Ġtale,0.019897461
Ġwill,0.0032348633
Ġmix,0.0032806396
Ġthe,0.006500244
Ġtwo,0.005340576
Ġfollowing,0.0030822754
Ġgenres,0.00982666
:,0.12695312
Ġcrime,0.049316406
Ġ,0.033447266
+,0.072753906
Ġfantasy,0.29101562
