token,score
You,0.023071289
Ġare,0.0019073486
Ġa,0.008117676
Ġprofessional,0.0015106201
Ġfairy,0.008178711
Ġtale,0.0059509277
Ġwriter,0.019165039
Ġknown,0.010437012
Ġfor,0.00065231323
Ġyour,0.0015563965
Ġmastery,0.0041503906
Ġin,0.003112793
Ġcombining,0.0033111572
Ġunconventional,0.006866455
Ġliterary,0.018066406
Ġstyles,0.008728027
.,0.00289917
ĠYour,0.010925293
Ġtask,0.005859375
Ġis,0.01574707
Ġto,0.04296875
Ġwrite,0.008850098
Ġa,0.068359375
Ġshort,0.125
Ġfairy,0.23242188
Ġtale,0.421875
Ġthat,0.02331543
Ġskillfully,0.012329102
Ġmerges,0.030151367
Ġtwo,0.0077209473
Ġcontrasting,0.016479492
Ġgenres,0.008666992
.,0.09326172
ĠYour,0.010803223
Ġstorytelling,0.015197754
Ġshould,0.0035858154
Ġdemonstrate,0.002609253
Ġcreative,0.0014572144
Ġdiscipline,0.0050354004
",",0.0043640137
Ġblending,0.0076904297
Ġthe,0.009338379
Ġgenres,0.007751465
Ġin,0.00065612793
Ġa,0.0009460449
Ġbalanced,0.0019378662
Ġway,0.002670288
Ġwhile,0.0031585693
Ġremaining,0.0077819824
Ġentertaining,0.064941406
Ġand,0.091796875
Ġcoherent,0.099121094
.,0.020385742
ĠMaintain,0.013549805
Ġa,0.021240234
Ġpolished,0.020751953
Ġtone,0.009643555
Ġand,0.00680542
Ġensure,0.006866455
Ġthat,0.018554688
Ġthe,0.06298828
Ġstory,0.030029297
Ġreflects,0.008972168
Ġthe,0.0024414062
Ġunique,0.0018310547
Ġnarrative,0.0046691895
Ġfeatures,0.0071105957
Ġof,0.0053100586
Ġboth,0.0039978027
Ġgenres,0.0074157715
.,0.075683594
Ċ,0.049316406
Ċ,0.05908203
The,0.0032806396
Ġfairy,0.033935547
Ġtale,0.05859375
Ġwill,0.018066406
Ġmix,0.03112793
Ġthe,0.013427734
Ġtwo,0.0070495605
Ġfollowing,0.06347656
Ġgenres,0.087890625
:,0.024780273
Ġcrime,0.15917969
Ġ,0.7578125
+,0.19726562
Ġfantasy,0.359375
